Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1552550784214114305,ja,NO,YES,0,23,"",Thu Jul 28 07:05:26 +0000 2022
1552561353771999237,ja,NO,YES,0,23,"",Thu Jul 28 07:47:26 +0000 2022
1552563940768772096,ja,NO,YES,0,23,"",Thu Jul 28 07:57:43 +0000 2022
1552564303248572416,en,NO,YES,0,4,"",Thu Jul 28 07:59:09 +0000 2022
1552549442200473601,fr,NO,YES,0,120,"",Thu Jul 28 07:00:06 +0000 2022
1552549622039601152,fr,NO,NO,0,0,"",Thu Jul 28 07:00:49 +0000 2022
1552549845558333441,fr,NO,YES,0,120,"",Thu Jul 28 07:01:42 +0000 2022
1552549934821507074,fr,NO,YES,0,15,"",Thu Jul 28 07:02:04 +0000 2022
1552550417707458562,fr,NO,YES,0,15,"",Thu Jul 28 07:03:59 +0000 2022
1552550500687544320,fr,NO,YES,0,15,"",Thu Jul 28 07:04:19 +0000 2022
1552550559957360640,fr,NO,YES,0,15,"",Thu Jul 28 07:04:33 +0000 2022
1552550586683375616,fr,NO,YES,0,11,"",Thu Jul 28 07:04:39 +0000 2022
1552550636302094337,fr,NO,YES,0,53,"",Thu Jul 28 07:04:51 +0000 2022
1552550795249418240,fr,NO,YES,0,15,"",Thu Jul 28 07:05:29 +0000 2022
1552550967987544064,fr,NO,YES,0,132,"",Thu Jul 28 07:06:10 +0000 2022
1552551045175410693,en,NO,NO,1,0,"",Thu Jul 28 07:06:28 +0000 2022
1552551101249077249,fr,NO,YES,0,328,"",Thu Jul 28 07:06:42 +0000 2022
1552551116767895552,fr,NO,YES,0,15,"",Thu Jul 28 07:06:45 +0000 2022
1552551122853847042,fr,NO,YES,0,23,"",Thu Jul 28 07:06:47 +0000 2022
1552551314218921986,en,NO,YES,0,9,"",Thu Jul 28 07:07:32 +0000 2022
1552551324880887808,fr,NO,YES,0,11,"",Thu Jul 28 07:07:35 +0000 2022
1552551440224321536,fr,NO,YES,0,15,"",Thu Jul 28 07:08:03 +0000 2022
1552551489310269440,fr,NO,YES,0,132,"",Thu Jul 28 07:08:14 +0000 2022
1552551795754409986,en,NO,YES,0,6986,"",Thu Jul 28 07:09:27 +0000 2022
1552551822560223232,fr,NO,YES,0,11,"",Thu Jul 28 07:09:34 +0000 2022
1552551917812948993,fr,NO,YES,0,11,"",Thu Jul 28 07:09:56 +0000 2022
1552551949693849602,en,NO,NO,0,0,"",Thu Jul 28 07:10:04 +0000 2022
1552552045999280129,fr,NO,YES,0,11,"",Thu Jul 28 07:10:27 +0000 2022
1552552273917747200,en,NO,NO,0,0,"",Thu Jul 28 07:11:21 +0000 2022
1552552379429576705,fr,NO,NO,2,0,"",Thu Jul 28 07:11:46 +0000 2022
1552552433238294529,fr,NO,NO,0,0,"",Thu Jul 28 07:11:59 +0000 2022
1552552502951813120,fr,NO,YES,0,18,"",Thu Jul 28 07:12:16 +0000 2022
1552552565711466496,fr,NO,YES,0,74,"",Thu Jul 28 07:12:31 +0000 2022
1552552565958737922,fr,NO,YES,0,132,"",Thu Jul 28 07:12:31 +0000 2022
1552552580638806016,fr,NO,YES,0,74,"",Thu Jul 28 07:12:34 +0000 2022
1552552727590445057,fr,NO,YES,0,128,"",Thu Jul 28 07:13:09 +0000 2022
1552552769856622592,fr,NO,YES,0,15,"",Thu Jul 28 07:13:20 +0000 2022
1552552899078750211,en,NO,YES,0,128,"",Thu Jul 28 07:13:50 +0000 2022
1552552958071644166,fr,NO,YES,0,13,"",Thu Jul 28 07:14:04 +0000 2022
1552553117321154560,en,NO,YES,0,9,"",Thu Jul 28 07:14:42 +0000 2022
1552553121414512641,fr,NO,NO,2,0,"",Thu Jul 28 07:14:43 +0000 2022
1552553257188335617,fr,NO,YES,0,328,"",Thu Jul 28 07:15:16 +0000 2022
1552553272279535621,fr,NO,YES,0,132,"",Thu Jul 28 07:15:19 +0000 2022
1552553333809942528,fr,NO,YES,0,2,"",Thu Jul 28 07:15:34 +0000 2022
1552553405322862596,fr,NO,YES,0,113,"",Thu Jul 28 07:15:51 +0000 2022
1552553486755270657,en,NO,YES,0,128,"",Thu Jul 28 07:16:10 +0000 2022
1552553505717719041,fr,NO,NO,0,0,"",Thu Jul 28 07:16:15 +0000 2022
1552553707010756608,en,NO,NO,0,0,"",Thu Jul 28 07:17:03 +0000 2022
1552554037861556225,fr,NO,YES,0,11,"",Thu Jul 28 07:18:22 +0000 2022
1552554051535048705,en,NO,NO,0,0,"",Thu Jul 28 07:18:25 +0000 2022
1552554119944179712,en,NO,YES,0,6987,"",Thu Jul 28 07:18:41 +0000 2022
